"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"China","CHN","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","111.0113","112.17453","115.65788","124.33882","128.11343","129.49595","127.81827","121.02243","113.81352","111.62343","111.63663","112.94708","112.23327","112.29888","113.56938","119.69797","125.96586","132.41076","135.20925","135.15871","132.50854","126.92337","122.20404","118.37826","116.00633","115.12537","114.20324","113.84028","114.89974","","","113.80271","114.60793","115.01118","","","109.96657","110.18598","110.90796","111.06395","111.24072","113.06421","","",
"Cote d'Ivoire","CIV","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","58.65081","58.73457","60.21138","61.51669","62.21465","62.47436","64.94578","68.01394","70.92303","72.40401","73.99045","74.18464","73.56632","71.43691","69.22649","68.18951","66.99587","67.05863","67.47331","67.30548","65.91596","65.38856","64.32409","66.66572","67.75393","68.87648","70.31561","71.65872","74.28126","74.29794","77.23648","78.29427","74.36598","","","73.57767","74.95055","79.68748","79.09063","","87.96868","","",
"Latin America and the Caribbean (IFC classification)","CLA","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","87.59494","85.20773","85.57186","86.68161","88.90269","90.25243","88.91547","89.84095","90.1915","90.38921","92.57783","93.56218","96.16019","94.74291","95.92457","97.10853","98.82419","99.67698","96.60943","96.65523","94.63789","89.38163","","83.65903","82.02587","75.84776","79.86921","82.34836","85.03162","87.48646","103.52904","103.61653","104.26715","109.87702","109.12835","109.40402","112.79274","114.00971","116.99884","119.76459","119.37752","","",
"Congo, Rep.","COG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","112.73461","118.26673","120.73612","123.16878","124.79951","125.62438","125.59518","126.91565","127.30779","131.53362","130.02942","131.02323","131.74137","133.63177","133.97489","135.21989","137.51572","131.68934","129.38727","125.70189","123.59259","120.46995","122.66409","118.76731","119.40106","112.5043","","92.83451","58.76098","87.22645","102.38905","104.89545","99.416","111.28102","110.8864","111.5926","109.47848","107.65153","112.15653","114.96519","116.10826","","",
"Colombia","COL","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","106.38439","109.0816","109.37727","111.57205","110.93045","112.52645","113.36256","115.72494","119.1232","122.30677","118.68583","120.54467","111.62215","111.22858","109.2395","107.27972","104.09069","105.2366","105.13965","105.46095","105.8698","106.56313","110.92863","111.76334","111.98667","112.08662","116.51892","","119.5014","118.96705","119.32604","116.4807","117.38858","","118.89939","120.09725","120.19888","120.2091","120.07056","120.3234","115.36948","111.62576","","",
"Comoros","COM","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","36.97597","37.46273","47.25006","53.33916","64.24193","78.39181","89.46034","","97.17088","","107.37484","","102.5372","99.62342","96.65026","98.91038","90.06726","89.56543","87.698","85.79796","88.66163","91.92269","87.10225","90.44189","","92.20247","","","100.41238","112.2889","116.63827","121.04194","117.99973","113.85437","112.85034","","102.11822","104.26969","","","97.84441","","",
"Cape Verde","CPV","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","54.43233","65.77932","80.3057","91.80133","97.48836","121.33253","112.94914","112.36426","112.6441","112.73401","112.77637","112.24644","105.611","110.31938","110.60127","111.12838","113.41142","116.09017","118.93214","120.80763","121.45963","","","122.87295","","","","126.20426","125.25078","124.33819","123.37008","122.92668","120.85271","117.80219","115.68756","114.74749","112.82914","111.62168","110.34628","109.60555","109.34707","","",
"Costa Rica","CRI","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","105.69276","104.59585","105.49183","107.25174","105.98425","105.27323","107.48646","108.69112","107.38736","106.44933","105.46384","105.51044","102.62149","101.01099","100.06592","100.05735","101.26965","101.26157","102.14478","102.07363","102.16895","103.34476","104.32794","104.44658","104.04336","103.9432","104.00891","103.88424","104.1637","112.34084","109.84243","110.9925","110.54037","110.52296","114.55726","111.78573","113.1728","111.55252","111.68875","111.524","109.78518","107.3806","","",
"South Asia (IFC classification)","CSA","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","107.87128","107.77444","108.85074","106.98319","107.84452","104.77299","104.39143","106.9315","107.02752","106.91823","104.88294","104.13032","105.59349","106.10257","105.60612","105.93338","105.86447","107.19284","107.12982","108.20512","105.92032","103.98255","103.75831","103.3889","103.79892","103.22749","102.7834","102.75041","102.19268","101.61932","101.82537","100.22162","99.72756","99.82614","100.69986","99.52196","97.16582","95.26812","96.71984","96.82354","97.1162","97.70418","","",
"Cuba","CUB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","116.84944","116.44831","118.59574","119.34805","120.83016","122.3241","121.01622","118.66153","114.9352","110.55407","106.1314","103.9147","104.3734","103.91208","102.31755","102.05684","102.67212","101.87713","101.03841","99.69267","98.0052","99.41266","99.70451","101.25329","100.79252","104.58899","104.22193","101.9426","101.80522","101.1479","100.56028","100.07107","97.97431","98.30047","99.08075","100.25135","101.49928","101.96203","103.19123","102.67047","101.03833","","",
"Curacao","CUW","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","102.20403","102.99328","114.38721","108.58615","106.44273","118.07611","106.32591","102.6725","99.43423","98.65242","","","","","","","","","","","","","","","","","","111.52917","110.69932","106.54458","101.79181","","88.28474","82.9918","86.78536","90.56696","90.00241","","","95.31213","","",
"Cyprus","CYP","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","87.8702","86.27033","85.70704","86.14528","77.87018","78.44175","77.73503","78.5516","78.65056","74.87085","74.0925","70.44826","70.58842","71.06538","71.86126","77.03813","81.02086","82.35003","82.67395","82.38345","81.98284","80.48248","101.09881","100.77162","99.88454","99.78395","99.79351","","97.43846","96.73135","96.64961","97.77345","97.61051","97.74523","100.85795","102.38691","102.47384","103.35171","105.36476","101.62433","","","",
"Czech Republic","CZE","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","123.64419","127.53614","129.67404","130.4527","128.50333","124.48783","121.56094","119.73681","117.83488","","99.78379","101.92681","103.31673","102.36521","99.23375","96.96551","93.8007","91.32965","91.06861","92.15642","95.05096","99.0894","101.01386","104.15589","103.74328","103.888","101.52848","102.90157","102.67355","102.58892","102.22778","100.00828","97.2511","96.71853","97.42502","98.48548","101.56511","104.60452","106.07735","105.73519","104.79212","","",
